fita,status,ult movimentação
FTD009L5,ARMAZENADO,04/01/2022
FTD052L5,ARMAZENADO,21/11/2019
FTH544L5,ARMAZENADO,17/09/2019
DIH183L5,ARMAZENADO,
FTH143L5,ARMAZENADO,01/02/2022
FTE794L5,ARMAZENADO,17/10/2019
BDB870L6,ARMAZENADO,01/11/2021
FCD666L5,ARMAZENADO,
BDB791L6,EM CLIENTE,10/06/2022
CFL171L6,ARMAZENADO,26/03/2019
BDB813L6,ARMAZENADO,22/03/2022
BDB757L6,ARMAZENADO,17/05/2022
FTH111L5,ARMAZENADO,22/03/2022
BDB466L6,ARMAZENADO,22/10/2019
FTC647L5,ARMAZENADO,10/06/2022
CQZ567L5,EM CLIENTE,16/06/2020
BUR972L6,ARMAZENADO,15/12/2020
BDB648L6,ARMAZENADO,06/07/2021
VV0001L5,ARMAZENADO,
BDB622L6,ARMAZENADO,26/04/2022
CHC206L6,ARMAZENADO,
FTC971L5,ARMAZENADO,04/01/2022
FCE902L5,EM CLIENTE,16/02/2021
FTD374L5,ARMAZENADO,24/05/2022
FFC055L5,ARMAZENADO,17/05/2022
FCD566L5,ARMAZENADO,23/11/2021
BLK109L5,ARMAZENADO,15/03/2022
FCD967L5,EM CLIENTE,14/04/2020
FTC585L5,ARMAZENADO,28/09/2021
FCF092L5,ARMAZENADO,27/12/2019
GFK787L5,ARMAZENADO,22/03/2022
BDB632L6,ARMAZENADO,31/05/2022
FFC228L5,EM CLIENTE,22/03/2022
GFK797L5,ARMAZENADO,22/03/2022
FTG569L5,ARMAZENADO,14/04/2020
GOI015L7,EM CLIENTE,14/09/2021
CIO175L6,ARMAZENADO,
VV0148L5,ARMAZENADO,
CZY681L5,ARMAZENADO,
DIH297L5,ARMAZENADO,02/07/2019
FTD257L5,ARMAZENADO,
FCF058L5,ARMAZENADO,20/07/2021
FFC045L5,ARMAZENADO,08/09/2020
BLK110L5,ARMAZENADO,15/03/2022
FTC830L5,ARMAZENADO,13/07/2021
GFK792L5,ARMAZENADO,22/03/2022
FCD201L5,ARMAZENADO,
BBM785L5,ARMAZENADO,17/11/2020
DIH887L5,EM CLIENTE,12/11/2019
FCE947L5,ARMAZENADO,
BDB517L6,ARMAZENADO,28/09/2021
GFK803L5,ARMAZENADO,21/05/2019
BBM714L5,ARMAZENADO,04/01/2022
BDB613L6,ARMAZENADO,22/03/2022
SAA213L5,ARMAZENADO,19/04/2022
FTF002L5,ARMAZENADO,01/03/2022
FTC645L5,ARMAZENADO,10/06/2022
VV0203L5,ARMAZENADO,17/11/2022
FTE858L5,ARMAZENADO,
BDB662L6,ARMAZENADO,06/07/2021
FTC614L5,ARMAZENADO,05/04/2022
VV0185L5,EM CLIENTE,17/09/2019
FFC251L5,ARMAZENADO,14/06/2022
FCE978L5,ARMAZENADO,24/12/2019
FCD040L5,ARMAZENADO,14/06/2022
CIO188L6,ARMAZENADO,
DIH179L5,EM CLIENTE,17/03/2020
FTD055L5,ARMAZENADO,21/11/2019
FCD227L5,ARMAZENADO,10/06/2022
CPW112L4,EM CLIENTE,17/12/2019
CRZ022L5,ARMAZENADO,17/12/2019
BDB628L6,ARMAZENADO,26/04/2022
BDB624L6,ARMAZENADO,26/04/2022
DIH981L5,ARMAZENADO,17/05/2022
BDB886L6,ARMAZENADO,30/11/2021
FFB982L5,ARMAZENADO,06/07/2021
VV0035L5,EM CLIENTE,16/04/2019
DIH114L5,EM CLIENTE,19/01/2021
BDB867L6,ARMAZENADO,01/11/2021
FTF015L5,ARMAZENADO,01/03/2022
SAA208L5,ARMAZENADO,19/04/2022
BDB782L6,ARMAZENADO,04/01/2022
CZY899L5,EM CLIENTE,18/10/2022
SAA212L5,ARMAZENADO,19/04/2022
CGB430L6,EM CLIENTE,14/12/2021
FCD617L5,ARMAZENADO,22/03/2022
BDB547L6,ARMAZENADO,25/06/2019
DIH058L5,EM CLIENTE,01/06/2021
FCD219L5,EM CLIENTE,10/06/2022
CIO215L6,ARMAZENADO,23/07/2019
FCD264L5,ARMAZENADO,17/09/2019
DIG965L5,EM CLIENTE,23/05/2022
BLK132L5,ARMAZENADO,18/10/2022
FCD656L5,ARMAZENADO,14/06/2022
BDB605L6,ARMAZENADO,22/03/2022
BDB647L6,ARMAZENADO,31/05/2022
BDB463L6,ARMAZENADO,27/12/2019
FTD320L5,ARMAZENADO,01/11/2021
FCF026L5,ARMAZENADO,17/05/2022
BDB546L6,ARMAZENADO,24/12/2019
UHU047L5,ARMAZENADO,11/02/2020
VV0155L5,ARMAZENADO,
BDB802L6,ARMAZENADO,
FXZ483L5,ARMAZENADO,
FFC257L5,ARMAZENADO,25/05/2021
FIC019L5,ARMAZENADO,01/03/2022
SAA206L5,ARMAZENADO,19/04/2022
FTE837L5,ARMAZENADO,17/12/2019
FCE964L5,ARMAZENADO,30/11/2021
FCF038L5,ARMAZENADO,17/05/2022
FTC587L5,ARMAZENADO,28/09/2021
SJP035L7,ARMAZENADO,
FTE766L5,ARMAZENADO,17/09/2019
FTC654L5,ARMAZENADO,10/06/2022
FTE859L5,ARMAZENADO,
FXZ480L5,ARMAZENADO,
FTD301L5,ARMAZENADO,28/09/2021
DIG963L5,ARMAZENADO,18/03/2021
VV0121L5,EM CLIENTE,06/07/2021
CIO243L6,ARMAZENADO,25/11/2019
FIB981L5,ARMAZENADO,17/11/2020
FTD376L5,ARMAZENADO,24/05/2022
BDB832L6,ARMAZENADO,31/08/2021
FCD030L5,ARMAZENADO,14/06/2022
BDB814L6,ARMAZENADO,26/04/2022
CZY723L5,ARMAZENADO,03/12/2019
FTD274L5,ARMAZENADO,16/04/2019
BDB586L6,ARMAZENADO,01/02/2022
DIH307L5,EM CLIENTE,12/11/2019
FTG848L5,ARMAZENADO,
BDB681L6,ARMAZENADO,03/05/2022
SJP045L7,EM CLIENTE,17/11/2020
FTD276L5,ARMAZENADO,16/04/2019
CZY968L5,EM CLIENTE,15/06/2021
CZZ040L5,EM CLIENTE,17/11/2022
CRZ034L5,ARMAZENADO,16/04/2019
FCD191L5,ARMAZENADO,
DIH024L5,EM CLIENTE,13/09/2022
FXZ772L5,ARMAZENADO,
FCD047L5,ARMAZENADO,24/09/2019
SPN059L5,ARMAZENADO,21/05/2019
BLK145L5,EM CLIENTE,18/06/2019
CZZ043L5,ARMAZENADO,12/04/2022
FCE988L5,ARMAZENADO,01/02/2022
FTG929L5,ARMAZENADO,24/12/2019
FFC179L5,ARMAZENADO,08/03/2022
FCD658L5,ARMAZENADO,03/05/2022
BDB623L6,ARMAZENADO,26/04/2022
FTC802L5,EM CLIENTE,19/05/2020
FTC814L5,ARMAZENADO,24/12/2019
CFL189L6,ARMAZENADO,03/12/2019
UHU040L5,ARMAZENADO,14/12/2021
FTD021L5,ARMAZENADO,28/09/2021
FTG667L5,EM CLIENTE,15/02/2022
FCD214L5,EM CLIENTE,10/11/2020
VV0178L5,EM CLIENTE,16/04/2019
BDB669L6,ARMAZENADO,20/07/2021
SP0000L5,EM CLIENTE,11/09/2019
BDB548L6,ARMAZENADO,25/06/2019
DIE163L5,EM CLIENTE,16/07/2019
FFC242L5,ARMAZENADO,01/02/2022
DII378L5,ARMAZENADO,11/08/2020
FIC058L5,ARMAZENADO,03/05/2022
UHU031L5,ARMAZENADO,25/01/2022
CQZ570L5,EM CLIENTE,16/06/2020
DIE164L5,EM CLIENTE,15/03/2022
DIH070L5,EM CLIENTE,01/06/2021
FCF039L5,ARMAZENADO,17/05/2022
DII044L5,ARMAZENADO,03/05/2022
FCF028L5,EM CLIENTE,28/12/2021
SPN060L5,ARMAZENADO,21/05/2019
GFK822L5,ARMAZENADO,31/05/2022
FCD571L5,EM CLIENTE,28/12/2021
FTH096L5,EM CLIENTE,10/05/2022
BDB453L6,EM CLIENTE,10/06/2022
GFK832L5,ARMAZENADO,31/05/2022
FFC010L5,ARMAZENADO,22/03/2022
FFB979L5,ARMAZENADO,06/07/2021
FTH077L5,ARMAZENADO,06/07/2021
BDB645L6,ARMAZENADO,31/05/2022
FTC786L5,ARMAZENADO,
FTG899L5,ARMAZENADO,24/09/2019
FTH101L5,ARMAZENADO,24/12/2019
CZX787L5,ARMAZENADO,25/08/2020
FCD202L5,ARMAZENADO,
FIB977L5,ARMAZENADO,17/11/2020
BLK119L5,EM CLIENTE,23/06/2022
FTC768L5,ARMAZENADO,21/02/2019
CQZ574L5,ARMAZENADO,17/09/2019
CIO237L6,ARMAZENADO,04/01/2022
BDB638L6,ARMAZENADO,31/05/2022
FFC193L5,ARMAZENADO,14/06/2022
DII041L5,EM CLIENTE,28/12/2021
FFB976L5,ARMAZENADO,06/07/2021
DIH252L5,EM CLIENTE,21/06/2022
CHC188L6,ARMAZENADO,
BDB910L6,ARMAZENADO,04/01/2022
FFC044L5,ARMAZENADO,08/09/2020
GFK820L5,ARMAZENADO,31/05/2022
LCT088L4,ARMAZENADO,03/05/2022
FCD241L5,EM CLIENTE,10/06/2022
FTC632L5,ARMAZENADO,22/03/2022
DIH294L5,EM CLIENTE,17/09/2019
SPN033L5,ARMAZENADO,05/06/2019
FIB960L5,ARMAZENADO,03/05/2022
FCD689L5,ARMAZENADO,17/12/2019
FCE998L5,ARMAZENADO,01/02/2022
BBM722L5,ARMAZENADO,04/01/2022
BDB488L6,ARMAZENADO,01/03/2022
FTD054L5,ARMAZENADO,21/11/2019
FYB464L5,ARMAZENADO,24/05/2022
FTE803L5,ARMAZENADO,
BDB697L6,ARMAZENADO,24/05/2022
FTD170L5,ARMAZENADO,
FFC005L5,ARMAZENADO,22/03/2022
CFL157L6,ARMAZENADO,17/12/2019
BBM740L5,ARMAZENADO,24/12/2019
DIH675L5,ARMAZENADO,16/02/2021
VV0072L5,EM CLIENTE,17/09/2019
SPN035L5,ARMAZENADO,18/06/2019
