fita,status,ult movimentação
BDB853L6,ARMAZENADO,28/09/2021
FTE971L5,ARMAZENADO,22/10/2019
FTC679L5,ARMAZENADO,24/05/2022
SP0020L5,ARMAZENADO,17/12/2019
FCD664L5,ARMAZENADO,16/04/2019
CHC179L6,ARMAZENADO,27/12/2019
SPN053L5,ARMAZENADO,23/04/2019
FCD761L5,ARMAZENADO,16/04/2019
FTG703L5,ARMAZENADO,16/04/2019
FFB960L5,ARMAZENADO,31/05/2022
CHC171L6,ARMAZENADO,27/12/2019
FTG946L5,ARMAZENADO,
FCD046L5,EM CLIENTE,15/02/2022
BDB543L6,ARMAZENADO,24/12/2019
FFC254L5,ARMAZENADO,14/06/2022
FTC603L5,ARMAZENADO,01/03/2022
FCD368L5,ARMAZENADO,16/07/2019
CFK975L6,ARMAZENADO,27/12/2019
CZZ049L5,ARMAZENADO,
FTH114L5,ARMAZENADO,26/04/2022
PLI654L4,ARMAZENADO,
FCD381L5,ARMAZENADO,21/11/2019
DII106L5,ARMAZENADO,11/02/2020
FTC619L5,ARMAZENADO,05/04/2022
CIO217L6,ARMAZENADO,
FXZ770L5,ARMAZENADO,
DIH221L5,EM CLIENTE,13/12/2022
FCD041L5,EM CLIENTE,28/12/2021
GFK804L5,ARMAZENADO,01/03/2022
FCD625L5,ARMAZENADO,22/03/2022
FFC196L5,ARMAZENADO,14/06/2022
BDB661L6,ARMAZENADO,06/07/2021
BDB568L6,ARMAZENADO,25/11/2019
FTH369L5,ARMAZENADO,31/08/2021
FTH094L5,ARMAZENADO,10/05/2022
DIH186L5,EM CLIENTE,01/06/2021
DIH231L5,ARMAZENADO,18/10/2022
CRZ004L5,ARMAZENADO,
BDB720L6,EM CLIENTE,10/06/2022
FCD669L5,ARMAZENADO,
BDB640L6,ARMAZENADO,31/05/2022
BDB530L6,ARMAZENADO,
FCC970L5,ARMAZENADO,26/04/2022
FTH145L5,ARMAZENADO,01/02/2022
BDB859L6,ARMAZENADO,28/09/2021
GFK778L5,ARMAZENADO,
CHC178L6,ARMAZENADO,27/12/2019
VV0151L5,ARMAZENADO,
FCD631L5,ARMAZENADO,22/03/2022
FCF098L5,ARMAZENADO,
BDB771L6,ARMAZENADO,19/04/2022
FTC764L5,ARMAZENADO,23/04/2019
BDB644L6,ARMAZENADO,31/05/2022
FCD038L5,EM CLIENTE,28/12/2021
CZY679L5,ARMAZENADO,
FTG601L5,ARMAZENADO,
DIE172L5,EM CLIENTE,25/05/2021
CZY747L5,EM CLIENTE,17/01/2023
SAP065L8,EM CLIENTE,19/07/2022
VV0075L5,ARMAZENADO,16/07/2019
FTD370L5,ARMAZENADO,24/12/2019
DIH135L5,ARMAZENADO,01/06/2021
FCD225L5,EM CLIENTE,10/06/2022
CZY900L5,ARMAZENADO,16/04/2019
FIB986L5,ARMAZENADO,29/10/2019
FCD580L5,EM CLIENTE,31/05/2022
FFC200L5,EM CLIENTE,14/06/2022
FTH080L5,ARMAZENADO,19/04/2022
FIB984L5,ARMAZENADO,01/09/2020
BDB446L6,ARMAZENADO,03/05/2022
FTD334L5,ARMAZENADO,01/11/2021
FFC008L5,ARMAZENADO,22/03/2022
FCE922L5,EM CLIENTE,13/07/2021
VV0177L5,EM CLIENTE,16/04/2019
DIH166L5,ARMAZENADO,
DII048L5,ARMAZENADO,17/05/2022
VV0066L5,ARMAZENADO,14/12/2021
FCD028L5,ARMAZENADO,14/06/2022
SPN028L5,ARMAZENADO,09/04/2019
FTH507L5,ARMAZENADO,
BDB462L6,ARMAZENADO,23/07/2019
FTC636L5,ARMAZENADO,22/03/2022
BUR951L6,EM CLIENTE,18/03/2021
FTC796L5,ARMAZENADO,
FTD010L5,ARMAZENADO,04/01/2022
FCF044L5,ARMAZENADO,06/07/2021
BLK116L5,EM CLIENTE,11/08/2020
CFL176L6,ARMAZENADO,26/03/2019
DIE174L5,EM CLIENTE,13/12/2022
FCD049L5,ARMAZENADO,24/09/2019
DII084L5,EM CLIENTE,16/08/2022
FCD762L5,EM CLIENTE,18/06/2019
CZY713L5,ARMAZENADO,18/10/2022
FTC769L5,ARMAZENADO,08/03/2022
CPW146L4,ARMAZENADO,
CGB393L6,EM CLIENTE,16/07/2019
FTG918L5,ARMAZENADO,26/04/2022
FCD211L5,EM CLIENTE,25/05/2021
BDB844L6,ARMAZENADO,31/08/2021
FTG886L5,ARMAZENADO,
FTH122L5,ARMAZENADO,28/09/2021
FTE846L5,ARMAZENADO,
FTE807L5,EM CLIENTE,12/04/2022
FCC982L5,ARMAZENADO,24/09/2019
FTD422L5,ARMAZENADO,23/04/2019
VV0123L5,EM CLIENTE,17/01/2023
BLK066L5,ARMAZENADO,17/12/2019
CQZ590L5,ARMAZENADO,15/12/2020
FIC052L5,ARMAZENADO,01/03/2022
AJF796L8,EM CLIENTE,17/11/2022
FCB414L5,ARMAZENADO,14/01/2020
DIH016L5,ARMAZENADO,16/02/2021
CZY894L5,ARMAZENADO,
DII109L5,ARMAZENADO,
CZX813L5,ARMAZENADO,17/11/2022
BBM774L5,ARMAZENADO,26/04/2022
FTG613L5,ARMAZENADO,13/09/2022
PLI670L4,ARMAZENADO,
FTC595L5,ARMAZENADO,28/09/2021
FTH365L5,ARMAZENADO,31/08/2021
FCD647L5,ARMAZENADO,
FTE970L5,ARMAZENADO,21/11/2019
FFC177L5,ARMAZENADO,08/03/2022
FTH307L5,ARMAZENADO,16/04/2019
FTH278L5,ARMAZENADO,31/08/2021
CZY711L5,EM CLIENTE,25/01/2022
CFK989L6,ARMAZENADO,25/08/2020
FTD019L5,ARMAZENADO,31/08/2021
FCF091L5,ARMAZENADO,27/12/2019
BLK061L5,ARMAZENADO,11/06/2019
CZZ046L5,ARMAZENADO,25/08/2020
SAP004L8,EM CLIENTE,19/07/2022
BBM776L5,ARMAZENADO,06/12/2022
FTF001L5,ARMAZENADO,14/06/2022
BDB526L6,ARMAZENADO,30/11/2021
BUR971L6,ARMAZENADO,14/12/2021
DIH696L5,EM CLIENTE,31/08/2020
BBM796L5,ARMAZENADO,01/03/2022
FTH075L5,ARMAZENADO,06/07/2021
BDB904L6,ARMAZENADO,04/01/2022
FCD622L5,ARMAZENADO,22/03/2022
GFK841L5,ARMAZENADO,31/05/2022
FTF016L5,ARMAZENADO,01/03/2022
FFC041L5,ARMAZENADO,08/09/2020
FFC255L5,ARMAZENADO,25/05/2021
DIH118L5,EM CLIENTE,14/04/2020
FIC038L5,EM CLIENTE,10/05/2022
CZY999L5,ARMAZENADO,25/01/2022
CQZ588L5,ARMAZENADO,16/02/2021
FFC009L5,ARMAZENADO,22/03/2022
FCE972L5,ARMAZENADO,30/11/2021
FCD188L5,ARMAZENADO,
FTD402L5,EM CLIENTE,10/06/2022
BDB750L6,ARMAZENADO,17/05/2022
FTD399L5,EM CLIENTE,10/06/2022
DII007L5,ARMAZENADO,23/11/2021
BDB560L6,ARMAZENADO,26/03/2019
DIH112L5,EM CLIENTE,01/06/2021
PLI653L4,ARMAZENADO,
BLK064L5,ARMAZENADO,16/04/2019
CQZ595L5,ARMAZENADO,15/06/2021
DIH303L5,EM CLIENTE,17/10/2019
APD939LU,ARMAZENADO,
DIH082L5,EM CLIENTE,18/10/2022
CPW106L4,EM CLIENTE,18/10/2022
VV0176L5,EM CLIENTE,06/07/2021
FTC610L5,ARMAZENADO,05/04/2022
CIO238L6,EM CLIENTE,07/12/2022
BBM723L5,ARMAZENADO,04/01/2022
SAA202L5,ARMAZENADO,19/04/2022
FTH084L5,EM CLIENTE,10/05/2022
FTD322L5,ARMAZENADO,01/11/2021
FFC174L5,ARMAZENADO,08/03/2022
BLK071L5,ARMAZENADO,18/06/2019
FTD368L5,ARMAZENADO,25/08/2020
GAC392L5,EM CLIENTE,17/11/2022
BDB725L6,EM CLIENTE,10/06/2022
CFK987L6,ARMAZENADO,01/02/2022
FCD165L5,EM CLIENTE,10/06/2022
FFC194L5,ARMAZENADO,14/06/2022
CIO157L6,ARMAZENADO,24/12/2019
CPW140L4,ARMAZENADO,
CIO239L6,ARMAZENADO,07/12/2021
FIC044L5,EM CLIENTE,10/05/2022
FCD592L5,ARMAZENADO,01/11/2021
CIO219L6,ARMAZENADO,
FIC027L5,ARMAZENADO,01/03/2022
DIH982L5,EM CLIENTE,14/06/2022
FTC620L5,ARMAZENADO,01/11/2021
CRZ062L5,ARMAZENADO,
FFC038L5,ARMAZENADO,08/09/2020
FIB992L5,ARMAZENADO,01/02/2022
FTC606L5,ARMAZENADO,01/03/2022
BDB599L6,ARMAZENADO,01/03/2022
FTE834L5,ARMAZENADO,
FCD189L5,ARMAZENADO,
FFC002L5,ARMAZENADO,22/03/2022
GFK821L5,ARMAZENADO,31/05/2022
DII381L5,EM CLIENTE,25/01/2022
BDB925L6,ARMAZENADO,12/04/2022
BUR953L6,EM CLIENTE,21/04/2021
SAP148L8,EM CLIENTE,19/07/2022
FTE780L5,ARMAZENADO,
BDB686L6,ARMAZENADO,03/05/2022
CZY676L5,ARMAZENADO,17/11/2022
BLK057L5,ARMAZENADO,19/05/2020
FCE932L5,EM CLIENTE,25/08/2020
FCE968L5,ARMAZENADO,30/11/2021
FTD330L5,ARMAZENADO,01/11/2021
BBM707L5,ARMAZENADO,04/01/2022
FFB980L5,ARMAZENADO,06/07/2021
FTF018L5,ARMAZENADO,01/03/2022
CHC173L6,ARMAZENADO,27/12/2019
BDB694L6,ARMAZENADO,03/05/2022
LCT087L4,ARMAZENADO,03/05/2022
FTC822L5,ARMAZENADO,13/07/2021
FTE788L5,ARMAZENADO,17/10/2019
FCE929L5,EM CLIENTE,25/08/2020
FCC964L5,ARMAZENADO,14/06/2022
BUR959L6,ARMAZENADO,16/08/2022
FTE802L5,ARMAZENADO,
FTC804L5,EM CLIENTE,25/08/2020
FTH110L5,ARMAZENADO,22/03/2022
FCE938L5,EM CLIENTE,25/08/2020
BDB739L6,ARMAZENADO,05/04/2022
BDB489L6,ARMAZENADO,01/03/2022
FTC648L5,ARMAZENADO,10/06/2022
SPN054L5,ARMAZENADO,05/06/2019
BDB614L6,ARMAZENADO,22/03/2022
CRZ006L5,EM CLIENTE,12/11/2019
FTH301L5,EM CLIENTE,25/01/2022
FTE785L5,ARMAZENADO,17/10/2019
FTE773L5,ARMAZENADO,
FCF029L5,ARMAZENADO,17/05/2022
UHU008L5,ARMAZENADO,
FCD180L5,ARMAZENADO,10/06/2022
BBM769L5,ARMAZENADO,26/04/2022
FTH261L5,ARMAZENADO,24/12/2019
FTC795L5,ARMAZENADO,
CZY962L5,ARMAZENADO,26/01/2021
FTH472L5,ARMAZENADO,
VV0065L5,EM CLIENTE,25/01/2022
DIG966L5,EM CLIENTE,23/05/2022
CPW145L4,ARMAZENADO,
FFC025L5,ARMAZENADO,01/02/2022
FTH360L5,ARMAZENADO,31/08/2021
CRZ024L5,ARMAZENADO,17/12/2019
FTD395L5,ARMAZENADO,31/08/2021
FTG752L5,EM CLIENTE,17/03/2020
FCF027L5,ARMAZENADO,17/05/2022
DIH993L5,EM CLIENTE,22/03/2022
PTA006L5,EM CLIENTE,16/07/2019
FYB472L5,ARMAZENADO,24/12/2019
VV0039L5,ARMAZENADO,28/12/2021
CPW164L4,ARMAZENADO,15/02/2022
FFC023L5,ARMAZENADO,26/04/2022
DIH030L5,EM CLIENTE,14/04/2020
VV0067L5,EM CLIENTE,16/04/2019
BBM755L5,ARMAZENADO,30/11/2021
BDB841L6,ARMAZENADO,31/08/2021
SP0019L5,ARMAZENADO,17/12/2019
SPN076L5,ARMAZENADO,
FFC181L5,ARMAZENADO,28/09/2021
DIH256L5,ARMAZENADO,16/04/2019
SJP040L7,ARMAZENADO,
FCD035L5,EM CLIENTE,10/05/2022
DIH661L5,EM CLIENTE,31/08/2020
FTG913L5,ARMAZENADO,17/11/2020
BDB754L6,ARMAZENADO,17/05/2022
BDB564L6,ARMAZENADO,23/07/2019
FTD167L5,ARMAZENADO,
FTH315L5,ARMAZENADO,06/12/2022
FTH099L5,ARMAZENADO,24/12/2019
DII107L5,ARMAZENADO,11/02/2020
BDB587L6,ARMAZENADO,01/02/2022
FTH124L5,ARMAZENADO,28/09/2021
UHU026L5,ARMAZENADO,16/08/2022
BDB855L6,ARMAZENADO,28/09/2021
FCF074L5,ARMAZENADO,22/10/2019
GM1270L5,ARMAZENADO,21/06/2022
FCD238L5,ARMAZENADO,14/12/2021
BBM726L5,ARMAZENADO,04/01/2022
FFB984L5,ARMAZENADO,15/03/2022
GFK840L5,ARMAZENADO,31/05/2022
FTD401L5,EM CLIENTE,10/06/2022
FFB970L5,ARMAZENADO,31/05/2022
FTH083L5,EM CLIENTE,10/05/2022
FTC983L5,EM CLIENTE,10/06/2022
FTH086L5,ARMAZENADO,14/06/2022
FFC209L5,EM CLIENTE,29/03/2022
BDB435L6,ARMAZENADO,05/04/2022
VV0186L5,ARMAZENADO,
DIH044L5,ARMAZENADO,01/06/2021
SAA204L5,ARMAZENADO,19/04/2022
DIH963L5,ARMAZENADO,14/06/2022
FCD970L5,EM CLIENTE,14/05/2019
DIH100L5,EM CLIENTE,01/06/2021
UHU042L5,ARMAZENADO,
BDB719L6,EM CLIENTE,10/06/2022
BBM772L5,ARMAZENADO,26/04/2022
BLK148L5,ARMAZENADO,12/11/2019
FTG731L5,ARMAZENADO,
DIG964L5,ARMAZENADO,01/06/2021
FTD012L5,ARMAZENADO,04/01/2022
FFB965L5,ARMAZENADO,31/05/2022
GFK834L5,ARMAZENADO,31/05/2022
FFC205L5,ARMAZENADO,14/06/2022
FTC683L5,ARMAZENADO,19/04/2022
FCD022L5,EM CLIENTE,31/05/2022
FCD640L5,ARMAZENADO,04/01/2022
CRZ026L5,ARMAZENADO,14/01/2020
DII029L5,ARMAZENADO,23/11/2021
FTG661L5,ARMAZENADO,16/08/2022
FCE923L5,EM CLIENTE,13/07/2021
FTH107L5,ARMAZENADO,24/12/2019
FIB983L5,ARMAZENADO,17/05/2022
FCD021L5,EM CLIENTE,31/05/2022
BDB756L6,ARMAZENADO,17/05/2022
CZY714L5,EM CLIENTE,18/10/2022
FFC031L5,ARMAZENADO,01/02/2022
FTD043L5,ARMAZENADO,01/03/2022
FCE931L5,EM CLIENTE,25/08/2020
FCD078L5,ARMAZENADO,12/01/2021
CIO168L6,ARMAZENADO,
FTC767L5,ARMAZENADO,
CIO245L6,ARMAZENADO,24/09/2019
DII047L5,ARMAZENADO,17/05/2022
BLK130L5,ARMAZENADO,16/08/2022
000053L6,ARMAZENADO,22/03/2022
SAP126L8,EM CLIENTE,19/07/2022
FCD574L5,ARMAZENADO,23/11/2021
FCD584L5,EM CLIENTE,31/05/2022
BDB796L6,ARMAZENADO,01/02/2022
DII052L5,EM CLIENTE,14/06/2022
FXZ469L5,ARMAZENADO,
FTE961L5,EM CLIENTE,22/03/2022
FTC763L5,ARMAZENADO,22/10/2019
FTE815L5,ARMAZENADO,11/10/2021
VV0177L5,EM CLIENTE,17/01/2023
UHU023L5,ARMAZENADO,
FTH518L5,ARMAZENADO,16/07/2019
FTD309L5,ARMAZENADO,28/09/2021
FTH557L5,ARMAZENADO,25/08/2020
FTH112L5,ARMAZENADO,22/03/2022
FTD413L5,EM CLIENTE,10/06/2022
FFB966L5,ARMAZENADO,31/05/2022
BDB789L6,ARMAZENADO,24/05/2022
FTH118L5,ARMAZENADO,31/05/2022
FCD043L5,ARMAZENADO,14/06/2022
FCF051L5,ARMAZENADO,06/07/2021
FFC218L5,EM CLIENTE,22/03/2022
BDB574L6,ARMAZENADO,01/02/2022
PTA032L5,ARMAZENADO,16/04/2019
FTC762L5,ARMAZENADO,24/12/2019
CIO156L6,ARMAZENADO,24/12/2019
CZY750L5,ARMAZENADO,17/11/2022
DIH175L5,ARMAZENADO,16/04/2019
DIH123L5,EM CLIENTE,11/08/2020
VV0146L5,ARMAZENADO,
FFB997L5,ARMAZENADO,03/05/2022
SPN014L5,ARMAZENADO,
FCF019L5,ARMAZENADO,17/05/2022
DIH018L5,ARMAZENADO,17/11/2022
GFK777L5,ARMAZENADO,
BBM725L5,ARMAZENADO,04/01/2022
FFB975L5,ARMAZENADO,06/07/2021
FTC760L5,ARMAZENADO,24/12/2019
DIH057L5,EM CLIENTE,16/02/2021
FCC998L5,ARMAZENADO,30/11/2021
CFK974L6,ARMAZENADO,27/12/2019
DIH196L5,EM CLIENTE,01/06/2021
FFC186L5,ARMAZENADO,28/09/2021
DOL870L5,ARMAZENADO,17/09/2019
DII389L5,EM CLIENTE,16/08/2022
VV0181L5,EM CLIENTE,16/04/2019
UHU005L5,ARMAZENADO,14/01/2020
BBM773L5,ARMAZENADO,26/04/2022
FCF080L5,ARMAZENADO,
CRZ033L5,ARMAZENADO,16/04/2019
BBM766L5,ARMAZENADO,26/04/2022
DII028L5,ARMAZENADO,07/12/2021
APD946LU,ARMAZENADO,
FTD047L5,ARMAZENADO,17/05/2022
BDB833L6,ARMAZENADO,31/08/2021
DIH061L5,ARMAZENADO,19/07/2022
FCE980L5,ARMAZENADO,27/12/2019
FTD292L5,ARMAZENADO,28/09/2021
BDB784L6,EM CLIENTE,07/12/2022
CHC175L6,ARMAZENADO,
FTG585L5,ARMAZENADO,18/10/2022
FCE984L5,ARMAZENADO,01/02/2022
FCB416L5,ARMAZENADO,16/04/2019
DIH110L5,ARMAZENADO,01/06/2021
FFC169L5,ARMAZENADO,08/03/2022
DIH174L5,EM CLIENTE,17/03/2020
FTH378L5,EM CLIENTE,05/05/2020
CIO178L6,ARMAZENADO,
FFC047L5,ARMAZENADO,08/09/2020
DIH979L5,ARMAZENADO,05/06/2019
FTE801L5,ARMAZENADO,
FTC630L5,ARMAZENADO,01/11/2021
BDB857L6,ARMAZENADO,28/09/2021
FFC236L5,ARMAZENADO,21/04/2021
PTA014L5,ARMAZENADO,16/04/2019
FCD650L5,ARMAZENADO,15/04/2020
BLK083L5,ARMAZENADO,21/09/2021
FTG903L5,ARMAZENADO,24/03/2020
BDB840L6,ARMAZENADO,31/08/2021
AJE759L8,EM CLIENTE,19/07/2022
BBM750L5,ARMAZENADO,23/07/2019
VV0036L5,EM CLIENTE,17/12/2019
FTE790L5,ARMAZENADO,16/08/2022
FFC059L5,EM CLIENTE,10/06/2022
FTG713L5,ARMAZENADO,13/09/2022
VV0052L5,ARMAZENADO,16/04/2019
FIC040L5,ARMAZENADO,01/03/2022
FCD477L5,ARMAZENADO,08/12/2021
FCD262L5,ARMAZENADO,17/09/2019
CGB400L6,EM CLIENTE,14/06/2022
FCE924L5,EM CLIENTE,17/08/2021
FCD619L5,ARMAZENADO,22/03/2022
FCF040L5,ARMAZENADO,06/07/2021
BBM706L5,ARMAZENADO,04/01/2022
SAA207L5,ARMAZENADO,19/04/2022
FCD578L5,ARMAZENADO,23/11/2021
FFB978L5,ARMAZENADO,06/07/2021
CRZ073L5,ARMAZENADO,16/04/2019
SPN015L5,ARMAZENADO,21/05/2019
BDB482L6,ARMAZENADO,
FTC681L5,ARMAZENADO,19/04/2022
DIH063L5,ARMAZENADO,25/05/2021
FTC995L5,ARMAZENADO,20/07/2021
FTD416L5,EM CLIENTE,10/06/2022
DIH197L5,EM CLIENTE,13/09/2022
UHU036L5,ARMAZENADO,16/04/2019
SPN041L5,ARMAZENADO,07/05/2019
CIO241L6,ARMAZENADO,
FTG910L5,ARMAZENADO,17/11/2020
FCC979L5,ARMAZENADO,01/03/2022
CZY984L5,EM CLIENTE,17/12/2019
BDB803L6,ARMAZENADO,03/12/2019
BDB668L6,ARMAZENADO,20/07/2021
UHU044L5,ARMAZENADO,23/07/2019
AJF802L8,EM CLIENTE,16/08/2022
GOI018L7,EM CLIENTE,15/03/2022
BDB633L6,ARMAZENADO,31/05/2022
FTC766L5,ARMAZENADO,
BDB673L6,ARMAZENADO,20/07/2021
BDB777L6,ARMAZENADO,05/04/2022
FFC206L5,EM CLIENTE,14/06/2022
BDB676L6,ARMAZENADO,20/07/2021
BBM768L5,ARMAZENADO,26/04/2022
DII396L5,ARMAZENADO,16/02/2021
FIC024L5,ARMAZENADO,04/01/2022
CHC199L6,ARMAZENADO,
DIH890L5,EM CLIENTE,14/01/2020
DIH985L5,ARMAZENADO,07/12/2021
VV0099L5,EM CLIENTE,17/09/2019
DIH269L5,EM CLIENTE,16/04/2019
BLK091L5,ARMAZENADO,22/09/2020
FCD370L5,EM CLIENTE,11/02/2020
FTC618L5,ARMAZENADO,05/04/2022
FTE810L5,ARMAZENADO,
FTC695L5,ARMAZENADO,14/06/2022
BDB817L6,ARMAZENADO,31/05/2022
FTH260L5,ARMAZENADO,20/07/2021
BDB563L6,ARMAZENADO,23/07/2019
BDB869L6,ARMAZENADO,01/11/2021
FTE812L5,ARMAZENADO,
FFC225L5,EM CLIENTE,22/03/2022
CZY964L5,ARMAZENADO,
CZY971L5,ARMAZENADO,14/06/2022
CIO249L6,ARMAZENADO,07/01/2020
FCD966L5,ARMAZENADO,28/04/2020
FTG838L5,ARMAZENADO,
DIH090L5,EM CLIENTE,25/08/2020
FFC227L5,ARMAZENADO,21/04/2021
FTG704L5,ARMAZENADO,26/03/2019
CIO199L6,ARMAZENADO,22/10/2019
DIH268L5,ARMAZENADO,16/04/2019
GAC385L5,EM CLIENTE,10/11/2020
FCD657L5,ARMAZENADO,04/01/2022
FCD623L5,ARMAZENADO,22/03/2022
FFB971L5,ARMAZENADO,31/05/2022
BBM704L5,ARMAZENADO,04/01/2022
FFC007L5,ARMAZENADO,22/03/2022
BDB721L6,EM CLIENTE,10/06/2022
BBM792L5,ARMAZENADO,01/03/2022
FTH089L5,ARMAZENADO,10/05/2022
FFC202L5,EM CLIENTE,14/06/2022
BDB540L6,ARMAZENADO,21/05/2019
DIH999L5,EM CLIENTE,22/03/2022
BDB848L6,ARMAZENADO,28/09/2021
BDB468L6,ARMAZENADO,17/12/2019
FFC033L5,ARMAZENADO,01/02/2022
FTH262L5,ARMAZENADO,20/07/2021
FCE971L5,ARMAZENADO,30/11/2021
FTD393L5,ARMAZENADO,24/05/2022
CIO227L6,ARMAZENADO,30/11/2021
BLK155L5,ARMAZENADO,12/11/2019
FFB993L5,ARMAZENADO,15/03/2022
APD937LU,ARMAZENADO,
FIB997L5,ARMAZENADO,28/09/2021
UHU032L5,ARMAZENADO,25/01/2022
DIH103L5,EM CLIENTE,01/06/2021
CPW129L4,ARMAZENADO,
DIH956L5,ARMAZENADO,01/11/2021
CZY969L5,ARMAZENADO,
FXZ468L5,ARMAZENADO,
UHU046L5,ARMAZENADO,11/02/2020
FCD001L5,EM CLIENTE,01/02/2022
BBM735L5,ARMAZENADO,30/11/2021
FTF009L5,ARMAZENADO,16/04/2019
DII053L5,ARMAZENADO,06/04/2021
SJP042L7,EM CLIENTE,17/11/2020
FTE829L5,ARMAZENADO,12/04/2022
FTC791L5,ARMAZENADO,
BDB876L6,ARMAZENADO,01/11/2021
CPW131L4,ARMAZENADO,16/08/2022
FTD373L5,ARMAZENADO,24/05/2022
BDB929L6,ARMAZENADO,26/04/2022
VV0174L5,EM CLIENTE,16/04/2019
FCF053L5,ARMAZENADO,20/07/2021
CIO158L6,ARMAZENADO,24/12/2019
BLK118L5,EM CLIENTE,23/06/2022
CZY910L5,ARMAZENADO,17/11/2022
SAP127L8,EM CLIENTE,19/07/2022
SPN002L5,ARMAZENADO,
SPN021L5,ARMAZENADO,09/04/2019
DIH991L5,ARMAZENADO,07/12/2021
VV0135L5,ARMAZENADO,
GM1212L5,ARMAZENADO,
VV0038L5,EM CLIENTE,12/11/2019
CGB417L6,EM CLIENTE,13/12/2022
DIH988L5,ARMAZENADO,21/04/2021
FYB468L5,ARMAZENADO,24/05/2022
FTG665L5,EM CLIENTE,15/02/2022
FCE946L5,ARMAZENADO,
CPW139L4,ARMAZENADO,
BLK079L5,ARMAZENADO,11/06/2019
FTE761L5,ARMAZENADO,
FTG617L5,ARMAZENADO,15/09/2020
CZY902L5,ARMAZENADO,13/09/2022
VV0111L5,ARMAZENADO,
FYB461L5,ARMAZENADO,24/05/2022
BLK082L5,ARMAZENADO,21/02/2019
BDB780L6,ARMAZENADO,17/05/2022
DIH019L5,ARMAZENADO,17/11/2022
DIH957L5,EM CLIENTE,14/06/2022
PTA037L5,ARMAZENADO,20/08/2019
FCD608L5,ARMAZENADO,01/11/2021
000045L6,ARMAZENADO,19/04/2022
GFK806L5,EM CLIENTE,25/08/2020
CQZ624L5,ARMAZENADO,11/08/2020
FTC964L5,ARMAZENADO,04/01/2022
GOI011L7,EM CLIENTE,13/07/2021
BDB902L6,ARMAZENADO,04/01/2022
FTD337L5,ARMAZENADO,01/11/2021
BBM703L5,ARMAZENADO,04/01/2022
FTH117L5,ARMAZENADO,31/05/2022
FTE823L5,ARMAZENADO,22/10/2019
CIO159L6,EM CLIENTE,10/06/2022
FTE839L5,ARMAZENADO,17/12/2019
BDB931L6,ARMAZENADO,26/04/2022
FIC025L5,ARMAZENADO,01/03/2022
BDB607L6,ARMAZENADO,22/03/2022
FCE987L5,ARMAZENADO,01/02/2022
FIB993L5,ARMAZENADO,28/09/2021
FCD603L5,ARMAZENADO,01/11/2021
BDB762L6,ARMAZENADO,19/04/2022
GFK782L5,ARMAZENADO,22/03/2022
FIC043L5,ARMAZENADO,01/03/2022
BDB579L6,ARMAZENADO,01/02/2022
DII008L5,ARMAZENADO,23/11/2021
FTC784L5,ARMAZENADO,
BDB861L6,ARMAZENADO,28/09/2021
SPN022L5,ARMAZENADO,09/04/2019
FIC031L5,ARMAZENADO,
DIH105L5,EM CLIENTE,14/06/2022
FTC590L5,ARMAZENADO,28/09/2021
FIB971L5,ARMAZENADO,28/09/2021
DIH098L5,EM CLIENTE,25/08/2020
BBM710L5,ARMAZENADO,04/01/2022
FTD321L5,ARMAZENADO,01/11/2021
FCD615L5,ARMAZENADO,04/01/2022
FCF047L5,ARMAZENADO,06/07/2021
FCD620L5,ARMAZENADO,22/03/2022
FTG935L5,ARMAZENADO,26/04/2022
DII379L5,ARMAZENADO,11/08/2020
FCD648L5,ARMAZENADO,
FFC241L5,ARMAZENADO,01/02/2022
FCD773L5,ARMAZENADO,16/04/2019
FTE972L5,ARMAZENADO,24/12/2019
DIH874L5,EM CLIENTE,17/12/2019
DIH068L5,EM CLIENTE,17/01/2023
FTD329L5,ARMAZENADO,01/11/2021
FTD417L5,EM CLIENTE,10/06/2022
CHC186L6,ARMAZENADO,03/12/2019
SAA002L5,ARMAZENADO,16/04/2019
BDB478L6,ARMAZENADO,24/09/2019
FTE840L5,ARMAZENADO,17/12/2019
BDB567L6,ARMAZENADO,21/11/2019
FFC208L5,EM CLIENTE,29/03/2022
FFB995L5,ARMAZENADO,15/03/2022
DIH054L5,EM CLIENTE,13/09/2022
GFK762L5,ARMAZENADO,
DII086L5,ARMAZENADO,13/09/2022
FFC024L5,ARMAZENADO,01/02/2022
FTD048L5,ARMAZENADO,17/05/2022
FTH363L5,ARMAZENADO,31/08/2021
FTG587L5,ARMAZENADO,18/10/2022
BDB653L6,ARMAZENADO,06/07/2021
FTH374L5,ARMAZENADO,
GFK767L5,ARMAZENADO,21/06/2022
GFK793L5,ARMAZENADO,22/03/2022
CQZ606L5,ARMAZENADO,16/06/2020
GFK796L5,ARMAZENADO,22/03/2022
FCE970L5,ARMAZENADO,30/11/2021
FTC613L5,ARMAZENADO,05/04/2022
SPN005L5,ARMAZENADO,14/05/2019
FFC212L5,ARMAZENADO,19/04/2022
FCD023L5,ARMAZENADO,31/05/2022
DII011L5,ARMAZENADO,23/11/2021
FTC635L5,ARMAZENADO,22/03/2022
BBM700L5,ARMAZENADO,04/01/2022
BDB727L6,EM CLIENTE,10/06/2022
DIH087L5,ARMAZENADO,17/12/2019
FCF005L5,ARMAZENADO,20/07/2021
FFB989L5,ARMAZENADO,15/03/2022
